ID;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;FECHA_INSTALACION;MODELO
98559;152;PUEBLO NUEVO;15;CIUDAD LINEAL;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;68;28037;2023-09-04 00:00:00.0;MU-51
98566;206;REJAS;20;SAN BLAS - CANILLEJAS;CALLE;PIRRA;14;28022;2019-01-29 00:00:00.0;MU-51
98565;206;REJAS;20;SAN BLAS - CANILLEJAS;CALLE;PIRRA;14;28022;2021-09-16 00:00:00.0;MU-51
98627;203;AMPOSTA;20;SAN BLAS - CANILLEJAS;CALLE;ALBERIQUE;12;28037;2021-09-30 00:00:00.0;MU-51
98632;153;QUINTANA;15;CIUDAD LINEAL;CALLE;VIRGEN DEL SAGRARIO;22;28027;2021-09-03 00:00:00.0;MU-51
98647;156;SAN JUAN BAUTISTA;15;CIUDAD LINEAL;CALLE;SORZANO;1;28043;2021-09-07 00:00:00.0;MU-51
98650;156;SAN JUAN BAUTISTA;15;CIUDAD LINEAL;CALLE;SORZANO;1;28043;2021-02-11 00:00:00.0;MU-51
98640;154;LA CONCEPCIÓN;15;CIUDAD LINEAL;CALLE;LOPEZ DE ARANDA;5;28027;2021-09-08 00:00:00.0;MU-51
98631;205;ROSAS;20;SAN BLAS - CANILLEJAS;CALLE;BUDAPEST;11;28022;2021-09-07 00:00:00.0;MU-51
65241;163;CANILLAS;16;HORTALEZA;PLAZA;NUESTRA SEÑORA DEL TRANSITO;12;28043;2021-09-14 00:00:00.0;MU-51
98693;152;PUEBLO NUEVO;15;CIUDAD LINEAL;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;160;28037;2021-05-06 00:00:00.0;MU-51
98698;152;PUEBLO NUEVO;15;CIUDAD LINEAL;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;168;28037;2021-08-05 00:00:00.0;MU-51
98705;151;VENTAS;15;CIUDAD LINEAL;AVENIDA;DAROCA;96;28017;2021-02-11 00:00:00.0;MU-51
98694;152;PUEBLO NUEVO;15;CIUDAD LINEAL;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;160;28037;2021-05-06 00:00:00.0;MU-51
98719;153;QUINTANA;15;CIUDAD LINEAL;CALLE;ZIGIA;2;28027;2021-08-03 00:00:00.0;MU-51
98721;153;QUINTANA;15;CIUDAD LINEAL;CALLE;ZIGIA;2;28027;2021-08-10 00:00:00.0;MU-51
98722;155;SAN PASCUAL;15;CIUDAD LINEAL;CALLE;ARTURO SORIA;71;28027;2021-05-06 00:00:00.0;MU-51
98730;155;SAN PASCUAL;15;CIUDAD LINEAL;CALLE;MARQUES DE PORTUGALETE;13;28027;2021-09-08 00:00:00.0;MU-51
98737;155;SAN PASCUAL;15;CIUDAD LINEAL;CALLE;AMARA;4;28027;2021-08-17 00:00:00.0;MU-51
109175;164;PINAR DEL REY;16;HORTALEZA;CALLE;SANTA VIRGILIA;19;28033;2022-05-13 00:00:00.0;ACB
109180;164;PINAR DEL REY;16;HORTALEZA;CALLE;SANTA VIRGILIA;19;28033;2019-10-14 00:00:00.0;ACB
109163;164;PINAR DEL REY;16;HORTALEZA;CALLE;ACONCAGUA;4;28043;2022-09-21 00:00:00.0;ACB
109184;162;PIOVERA;16;HORTALEZA;CALLE;FLORENCIO CASTILLO;29;28043;2019-01-29 00:00:00.0;ACB
109156;161;PALOMAS;16;HORTALEZA;CALLE;GUADALAJARA;46;28042;2019-10-14 00:00:00.0;ACB
109158;161;PALOMAS;16;HORTALEZA;CALLE;AÑIL;3;28042;2019-05-16 00:00:00.0;ACB
109189;166;VALDEFUENTES;16;HORTALEZA;AVENIDA;NICETO ALCALA ZAMORA;12;28050;2019-09-11 00:00:00.0;ACB
109192;166;VALDEFUENTES;16;HORTALEZA;CALLE;PROVISIONAL CARCAVAS OESTE UNO;8;28055;2019-10-21 00:00:00.0;ACB
109194;166;VALDEFUENTES;16;HORTALEZA;CALLE;JUAN DANIEL FULLAONDO;16;28055;2022-09-20 00:00:00.0;ACB
