Titulo,Anio,Valoracion,Genero
"Heartstone, corazones de piedra",2016,8.1,Romántica
C'est la vie,2017,6.7,Comedia
El nombre del bambino,2015,6.7,Comedia
Sparrows (Gorriones),2015,7.3,Drama
La noche que mi madre mató a mi padre,2015,7.0,Thriller
Los Objetos Amorosos,2016,7.1,Drama
Universal y faraona,2018,5.6,Documental
El Pasajero,2018,5.9,Thriller
Un golpe sobrenatural,2018,5.5,Aventuras
Mi hermano ciego,2016,6.0,Romántica
El ángel envenenador,2016,6.5,Thriller
Un hombre mejor,2017,7.7,Documental
El Fiel,2017,6.6,Romántica
120 pulsaciones por minuto,2017,8.0,Drama
Una insólita aventura,1994,7.0,Drama
The President,2014,7.9,Drama
Dolphin Man,2017,7.8,Documental
El ataúd de cristal,2017,5.4,Thriller
Girls Lost,2015,6.7,Drama
La Fuga: Girl in Flight,2017,7.1,Drama
Hobbyhorse Revolution,2017,8.0,Documental
Wallay,2017,7.4,Drama
Qué fue de Brad,2017,6.8,Drama
Wonderstruck: El museo de las maravillas,2017,7.1,Drama
Entre ellas,2016,6.4,Romántica
First Girl I Loved,2016,7.1,Drama
Santuario,2015,7.4,Thriller
Kaleidoscope,2016,7.3,Thriller
Elle,2016,7.9,Drama
Karenina y yo,2017,7.2,Documental
Rosas salvajes,2017,7.3,Drama
Les amants réguliers,2005,7.4,Romántica
Historia de una pasión,2016,7.2,Drama
Fuego en el Mar,2016,7.0,Comedia
Book Girl,2010,6.1,Drama
El planeta salvaje,1973,8.4,Ciencia ficción
Le navire night,1979,7.8,Cine clásico
Mi hermosa lavandería,1985,7.8,Cine clásico
The Jungle Bunch: la panda de la selva,2017,6.0,Comedia
Rocks in My Pockets,2014,7.3,Drama
Julian Schnabel: Un Retrato Privado,2017,7.8,Documental
Déjate llevar,2017,5.4,Comedia
Doble Traición,2018,7.0,Drama
La mano invisible,2016,7.6,Drama
On the Other Side,2016,7.6,Drama
Roberto Bolaño. La batalla futura,2016,7.3,Documental
La última ola,1977,7.1,Cine clásico
Belle de Jour (Bella de día),1967,8.3,Cine clásico
Funny games,1997,8.0,Cine clásico
General Idi Amin Dada,1974,8.3,Cine clásico
"Trío, la búsqueda del santuario sagrado",2017,5.9,Infantil
El vídeo de Benny,1992,7.8,Thriller
Neruda,2016,7.5,Drama
Palabra de Dios,2017,7.4,Drama
Nina Simone,2015,6.9,Drama
El jardín de Jeannette,2016,7.4,Drama
Zama,2017,6.8,Aventuras
Las hijas de Abril,2017,6.5,Drama
Los locos viajes de Celine y Julie,1974,8.1,Cine clásico
Wonder Wheel,2017,7.2,Romántica
Red de libertad,2017,6.0,Drama
Haunted,2017,5.9,Thriller
Alanis,2017,7.2,Drama
La última noche en París,2016,6.2,Erótica
En el nombre de mi hija,2016,7.6,Thriller
La Rebelión de los Cuentos,2016,8.5,Comedia
El principito,2015,8.4,Animación
Primaria,2016,7.8,Drama
Viktoria,2015,7.6,Drama
El séptimo continente,1989,7.6,Cine clásico
El Viaje,2016,7.5,Drama
Most Beautiful Island,2017,6.5,Terror
Perfectos Desconocidos,2017,6.6,Comedia
Creative Control,2015,5.6,Ciencia ficción
Dawson City: Frozen Time,2016,8.5,Documental
Dead Slow Ahead,2015,6.9,Documental
RocknRollers,2016,7.5,Documental musical
El Hollywood de Hitler,2017,7.9,Documental
Pastel de pera con lavanda,2015,7.6,Romántica
El verano de May,2013,6.8,Drama
Papá o Mamá,2015,6.5,Comedia
La cabeza alta,2015,8.0,Drama
Perfiles: Una mirada al abismo,2013,7.1,Thriller
El amante doble,2017,6.0,Thriller
Al Final del Túnel,2016,7.5,Thriller
Porto,2016,7.3,Romántica
Cerca de tu casa,2016,7.6,Musical
Viva,2015,8.0,Drama
Bang Gang,2015,6.1,Erótica
Miedo y Asco en Las Vegas,1998,7.4,Comedia
Viaje a Italia,2014,6.0,Comedia
Todos queremos algo,2016,7.0,Comedia
Requisitos para ser una persona normal,2015,6.6,Romántica
Las chicas de Amanecer Dorado,2017,7.8,Documental
Todos los gobiernos mienten,2016,8.4,Documental
Koza,2015,6.8,Drama
El maravilloso jardín secreto de Bella Brown,2016,6.3,Drama
El Emperador,2017,7.2,Documental
Sweet Virginia,2017,7.2,Drama
La Posesión,1981,6.9,Cine clásico
Sensoria,2015,6.4,Thriller
Soulmate,2013,5.8,Terror
Killing Ground,2016,7.0,Thriller
Goodnight Mommy,2014,7.1,Terror
Amityville: El despertar,2017,4.3,Terror
Los hambrientos,2017,6.0,Terror
Velvet Terrorists,2013,7.9,Documental
¡Lumière! Comienza la aventura,2016,8.3,Documental
Aixa,2017,7.6,Documental
3 generaciones,2015,7.3,Drama
La doctora de Brest,2015,7.9,Drama
Masaan,2015,7.6,Drama
Migas de Pan,2016,7.7,Drama
Los Anarquistas,2015,7.0,Thriller
El Clan,2015,7.6,Thriller
El instante decisivo,2014,7.5,Biopic
Warsaw 44,2014,6.6,Bélico
1944,2015,7.6,Bélico
Mayo de 1940,2015,7.4,Bélico
Tierra Firme,2017,7.2,Comedia
The Square,2017,7.3,Comedia
Sunset Song,2015,7.1,Romántica
El Olivo,2016,7.8,Comedia
Lolo,2016,6.0,Comedia
La Novia,2015,7.8,Drama
The Lure,2015,6.5,Musical
High-Rise,2015,6.5,Thriller
Langosta,2015,7.3,Ciencia ficción
Solo los Amantes Sobreviven,2013,7.0,Romántica
El amor es más fuerte que las bombas,2015,7.4,Drama
Jimmy's Hall,2014,7.9,Drama
"Guillaume y los chicos, ¡a la mesa!",2013,7.6,Comedia
Solo en un dia,2017,6.8,Documental musical
Hotel Cambridge,2015,8.3,Documental
Mi noche con Maud,1968,8.2,Drama
Kikoriki: Equipo Invencible,2011,5.8,Aventuras
Histeria de Cataluña,2018,5.5,Documental
El Gran Desmadre (Malas Madres 2),2017,5.7,Comedia
La coleccionista,1967,7.5,Cine clásico
La Marquesa de O,1976,7.7,Cine clásico
Pauline en la playa,1983,7.0,Comedia
La rodilla de Claire,1970,7.0,Cine clásico
El rayo verde,1986,7.7,Cine clásico
La buena boda,1981,7.4,Cine clásico
La mujer del aviador,1980,6.8,Cine clásico
Cuento de otoño,1998,7.8,Drama
Jägger Royale,2017,8.6,Comedia
El sacrificio de un ciervo sagrado,2017,7.3,Drama
Un tango más,2015,6.8,Documental musical
Ragtime,1981,8.1,Cine clásico
Rabbit à la Berlin,2009,8.1,Documental
Yo-kai Watch: La Película,2014,7.6,Aventuras
El Profesor de Violín,2015,7.4,Drama
"Elvira, la reina de las tinieblas",1988,6.8,Terror
El Techo del Mundo,2015,8.4,Infantil
More,1969,7.6,Cine clásico
El Secreto de Marrowbone,2017,6.7,Thriller
Los Caballeros Blancos,2015,7.1,Thriller
Gimme Danger,2016,8.1,Documental musical
Truman,2015,8.1,Comedia
Un día perfecto,2015,8.0,Comedia
Pero que todos sepan que no he muerto,2017,7.7,Documental
Declarado culpable,2017,7.5,Documental
Liberation Day,2016,8.0,Documental musical
Tierra de Dios,2017,8.5,Drama
Una razón para vivir,2017,7.6,Romántica
Una cita en el parque,2017,6.1,Romántica
Nuestra vida en la Borgoña,2017,7.5,Comedia
Rosalie Blum,2015,7.6,Comedia
Un Doctor en la Campiña,2016,7.3,Comedia
La profesora de historia,2014,8.1,Drama
El infierno del odio,1963,8.7,Drama
El baile de los vampiros,1967,8.3,Cine clásico
Los Duelistas,1977,8.3,Aventuras
La bestia del reino,1977,7.0,Aventuras
La vida de Brian,1979,8.7,Comedia
Regreso a Montauk,2016,6.7,Romántica
El último acto,2016,7.7,Drama
Nadie quiere la noche,2015,7.8,Aventuras
Terraformars,2016,5.9,Ciencia ficción
Zulu,2013,7.0,Thriller
Are We Not Cats,2016,5.9,Romántica
Tutti a casa,2017,7.6,Documental
Shadow World,2016,8.1,Documental
9 meses,2015,7.9,Drama
Mi crisis de los 30,2012,5.9,Comedia
A cambio de nada,2015,7.1,Drama
La vida de Anna,2016,7.3,Drama
"Ana, mon amour",2017,7.0,Drama
7 Diosas,2015,7.6,Comedia
Bird People,2014,6.9,Drama
En cuerpo y alma,2017,7.7,Romántica
La Región Salvaje,2016,6.7,Drama
The Treatment,2014,7.0,Thriller
Destinos,2017,7.6,Drama
Confession of Murder,2012,6.7,Acción
Cuento con Usted,2015,7.0,Drama
No es mi tipo,2014,6.8,Comedia
Reset,2015,8.3,Documental
Mansfield 66/67,2017,6.8,Documental
"Jericó, el infinito vuelo de los días",2016,8.6,Documental
Advanced Style,2015,7.9,Documental
Animals,2017,6.4,Thriller
Tiger House,2015,6.1,Thriller
Against the Law,2017,8.5,Drama
Old Stone,2016,7.5,Thriller
La Piel Fría,2017,6.3,Terror
A War,2015,7.8,Drama
La decisión del rey,2016,7.9,Bélico
El caso Fritz Bauer,2015,8.0,Thriller
Secretos de guerra,2014,7.6,Bélico
Cuando cae la nieve,2016,6.0,Thriller
La Escala,2016,7.2,Drama
Mañana,2015,9.0,Documental
Respira,2015,7.2,Thriller
Mustang,2014,8.3,Drama
Nacido en Siria,2016,7.9,Documental
La isla de los monjes,2017,7.1,Documental
Una sinfonía de cumbres: los Alpes desde arriba,2013,8.0,Documental
La Conversación,1974,7.9,Drama
