Titulo,Anio,Valoracion,Genero
Cooking Up a Tribute,2015,7.1,Documental
La Fugitiva,1950,7.2,Thriller
Cuento de verano (2015),2015,5.4,Drama
Eva,1962,6.9,Thriller
Las Bien Amadas,2011,6.9,Musical
Los come-gusanos,1977,5.9,Comedia
Mar Eterno,1955,6.9,Biopic
Fermentación espontánea,2016,8.0,Documental
La voz de la primera plana,1952,7.6,Cine clásico
Crows III,2013,7.1,Thriller
Violeta se fue a los cielos,2011,7.8,Biopic
"Orinoco, paraíso del sexo",1980,3.6,Acción
La historia de Tommy Steele,1957,5.5,Biopic
Esta es la noche,1954,6.3,Comedia
Amenaza Inminente,2015,6.4,Documental
"Hiroshima, Mon Amour",1959,8.4,Cine clásico
Concierto Avi Avital,2015,7.2,Conciertos y Óperas
Midnight Sun,2015,7.6,Documental musical
Zivan Makes a Punk Festival,2013,7.6,Comedia
Afterdeath,2015,4.0,Thriller
Las Sillas Musicales,2015,7.0,Musical
Recital de Wang y Capuçon,2014,8.5,Conciertos y Óperas
Historias de Lavapiés,2015,5.9,Drama
Volver a casa con 50 años,2016,8.0,Documental
Eva Braun: vida y muerte con el Führer,2016,6.4,Documental
Apocalipsis: Verdún,2015,8.3,Documental
"Love always, Carolyn",2011,7.3,Documental
The Second Act of Elliott Murphy,2016,8.1,Documental musical
Últimos días en el Platz,2015,7.1,Documental
Madame Bovary (1991),1991,6.8,Cine clásico
Ley 627,1992,7.6,Thriller
The Fake,2013,7.3,Drama
Patti Smith: Dream of life,2008,7.9,Documental musical
God Help the Girl,2013,7.1,Musical
La última noticia,2015,7.3,Thriller
El Cuarto Estado,2013,6.9,Thriller
Apartamento en Berlín,2016,6.4,Drama
Like you mean it,2015,6.8,Romántica
Refugio,2015,7.4,Drama
Hitchcock/Truffaut,2015,7.7,Documental
La desaparición de Jeremy,2013,6.8,Thriller
Un gran desconocido,2014,7.6,Thriller
Las hermanas vampiras,2012,8.4,Comedia
Un hada llamada Liza,2015,7.2,Terror
Sayat Nova (El color de la granada),1968,8.0,Cine clásico
Reina Cristina,2015,7.3,Biopic
"Sexo, drogas e impuestos",2014,7.0,Drama
La Once,2014,7.3,Documental
Democracy,2015,7.8,Documental
Babai,2015,6.5,Drama
Paulina,2015,7.2,Thriller
Ardor,2014,6.7,Acción
La Reina del Desierto,2015,6.4,Biopic
Mi padre Baryshnikov,2012,7.2,Comedia
The Rocket,2013,8.1,Aventuras
El chico invisible,2014,7.6,Aventuras
El Ministerio del Hierro,2014,6.9,Documental
El Estrangulador de Rillington Place,1971,7.8,Drama
Amor,2012,8.6,Drama
Argerich y Temirkanov,2009,8.0,Conciertos y Óperas
Rapsodias de Simon Rattle,2007,8.0,Conciertos y Óperas
Bartók según Boulez,2010,8.0,Conciertos y Óperas
Barenboim en Oxford,2010,8.0,Conciertos y Óperas
Argerich y Kovacevic,2008,8.5,Conciertos y Óperas
Weekend,2011,8.1,Drama
El peor dios,2013,7.8,Documental musical
El país del sexo salvaje,1972,4.0,Cine clásico
Autostop sangriento,1977,6.2,Cine clásico
La cura de Yalom,2014,7.7,Documental
Equí y n'otru tiempu,2014,6.3,Documental
El nome de los árboles,2015,6.9,Documental
Doctor Strange,2007,6.8,Animación
Suez,1938,7.4,Cine clásico
La víspera de Halloween,2013,5.0,Terror
Vampyres,2015,4.1,Terror
Dead Rush,2016,5.1,Comedia
Las Lágrimas de África,2016,6.5,Documental
El Mundo Sigue,1963,8.3,Drama
Renoir,2012,6.9,Biopic
Mandarinas,2014,8.4,Bélico
El Amor,1948,7.3,Cine clásico
Mordiendo la vida,1987,4.8,Cine clásico
Señor Manglehorn,2014,6.7,Drama
El Secreto del Pirata,1952,7.0,Cine clásico
Hawaii,1966,7.6,Cine clásico
Land Grabbing,2015,8.4,Documental
"Järvi dirige Mozart, Sibelius y Hayden",2014,8.3,Conciertos y Óperas
"Akerman, un recuerdo",2015,7.4,Drama
Los canallas duermen en paz,1960,8.0,Thriller
El Testamento de Rosalind Leigh,2012,4.8,Terror
La casa de Pine Street,2015,4.9,Terror
Lujuria para un vampiro,1971,5.8,Cine clásico
"Happy, un cuento sobre la felicidad",2008,6.7,Comedia
Juguete Mortal,1986,6.3,Cine clásico
Luna de miel en familia,1966,6.6,Cine clásico
Anabel,2015,5.3,Thriller
Barcelonnabis,2014,6.3,Documental
Spotlight,2015,8.3,Thriller
La mujer preferida,1933,6.7,Romántica
Romeo y Julieta (Prokofiev),2016,9.0,Conciertos y Óperas
Las vísperas sicilianas,2010,7.0,Conciertos y Óperas
Modernos,2015,7.9,Documental
The Answer,2015,5.4,Ciencia ficción
El dinero del crimen,2012,5.5,Drama
Recuerdos de Guerra,1989,5.5,Bélico
Los Delincuentes,1957,6.4,Cine clásico
Las joyas de la familia,1965,6.9,Comedia
Killing Zoe,1993,6.1,Cine clásico
El Código Shakespeare,2016,7.7,Documental
Contramarea,2016,8.0,Documental
La traviata (Teatro Real),2015,8.0,Conciertos y Óperas
El Holandés Errante,2013,8.0,Conciertos y Óperas
Teenage Kicks,2016,6.6,Drama
La batalla de los malditos,2013,4.0,Aventuras
Black Angel,2002,5.5,Drama
La maldición del hombre lobo,1961,6.2,Terror
El aviador nocturno,1997,6.0,Terror
Miércoles de ceniza,1973,6.4,Cine clásico
Los Andersson en la nieve,2014,7.5,Comedia
Recital de Joyce Didonato,2015,6.3,Conciertos y Óperas
Soy Unoentrecienmil,2016,9.0,Documental
The Dead 2: India,2013,5.2,Terror
Quemado por el Sol,1994,8.3,Drama
Quemado por el Sol 2: Éxodo,2010,7.8,Bélico
Quemado por el Sol 3: Ciudadela,2011,7.8,Bélico
La Calle de la Amargura,2015,7.1,Comedia
Un domingo en el campo,1984,7.7,Drama
La luz con el tiempo dentro,2015,6.7,Biopic
El Criminal,1960,7.1,Thriller
La profesora y el último de la clase,1978,4.7,Comedia
Michael,1996,6.0,Romántica
Trópico de cáncer,1972,6.3,Terror
Pesadilla en la playa,1989,5.1,Terror
Barco a la deriva,1935,7.2,Drama
Secuestro de una mujer,1973,7.3,Acción
La guerra de los botones (1962),1962,8.0,Cine clásico
Una luz en el hampa,1964,7.2,Drama
Angustia Mortal,1968,7.1,Thriller
Historia de un policia,1975,7.4,Cine clásico
Dinastia Borgia,2010,9.3,Conciertos y Óperas
Economía colectiva,2014,7.8,Documental
Soneto Nocturno,2014,7.3,Comedia
El grito,2004,6.0,Terror
El Mutilador,1985,5.9,Cine clásico
Hana-Bi Flores de fuego,1997,7.8,Thriller
El verano de Kikujiro,2000,8.0,Drama
Madame de...,1953,8.2,Romántica
Los Ángeles del Infierno,1966,6.5,Cine clásico
Sabotaje (La Mujer Solitaria),1936,7.4,Thriller
Santa Fiesta,2016,7.1,Documental
Cien años de perdón,2016,7.1,Acción
It Follows,2014,7.0,Terror
Zombis Nazis 2: Rojos vs. Muertos,2014,6.9,Terror
Big Bad Wolves,2013,6.8,Thriller
Qué pelo más guay,2016,5.7,Comedia
El incendio,2015,6.9,Drama
El Futuro,2014,6.4,Drama
Un verano inolvidable,2014,6.3,Drama
Depth Two,2016,7.5,Thriller
The Warriors. Los amos de la noche,1979,7.6,Cine clásico
Un cine como tú en un país como este,2010,7.6,Documental
Sueños de sal,2015,5.1,Documental musical
Al Interior,2007,6.8,Terror
No One's Child,2014,7.5,Drama
Eduardo Ducay: El cine que siempre estuvo ahí,2015,6.1,Documental
Rigoletto,2008,9.0,Conciertos y Óperas
La Reina Margot,1994,7.9,Biopic
Welcome to New York,2014,6.8,Drama
Danton,1983,8.0,Cine clásico
Año Cero,2014,7.1,Drama
Las más macabras de las vidas,2015,7.0,Documental musical
La gran seducción (2013),2013,6.7,Comedia
Regreso a Salem's Lot,1987,4.6,Terror
Te querré siempre,1954,8.0,Cine clásico
Las aventuras de Bastian (La historia interminable 3),1995,6.4,Aventuras
La Pasión de Port Talbot,2012,5.2,Drama
¿Quién mató a tía Roo?,1972,5.9,Cine clásico
Sacramento,2015,6.6,Comedia
Lolo Rico: la mirada no inventada,2015,8.3,Documental
Luna Maldita,1996,5.7,Terror
Sumario sangriento de la pequeña Estefania,1972,6.4,Terror
Lo mejor para ella,2014,6.5,Drama
La desaparición de Eleanor Rigby,2014,7.1,Romántica
Vinieron de dentro de...,1975,6.7,Ciencia ficción
El enterrador y sus colegas,1966,5.1,Terror
Sombras en la Distancia,2015,6.0,Drama
Concierto Fantástico,2011,7.1,Conciertos y Óperas
Dos metros de esta tierra,2012,7.4,Drama
Brückner por van Zweden,2014,8.0,Conciertos y Óperas
Pequeñas voces,2010,8.3,Documental
Espectro,2013,2.8,Thriller
Operación Isla del Oso,1978,5.8,Cine clásico
Fantasma,2015,4.8,Drama
The Kings of Summer,2013,7.2,Aventuras
El día de los inocentes,1985,6.1,Terror
Don't Speak,2014,2.2,Terror
La Carrera de la Muerte,1970,4.8,Cine clásico
Oriol Perucho in memoriam,2017,7.5,Documental musical
El baile de agosto,1998,7.3,Drama
The Colditz Story,1955,6.6,Bélico
El difunto protesta ,1941,7.8,Comedia
Peace to Us in Our Dreams,2015,5.1,Drama
Finding Fela,2014,8.4,Documental musical
Outrage 2,2012,7.6,Acción
About Cherry,2012,5.4,Drama
Mar Radiante,2015,6.1,Drama
Amanece en Edimburgo,2014,6.9,Musical
Martians Go Home! La venganza de Sara Clockwork,2006,5.8,Comedia
El Ataque del Pene Mutante del Espacio,2007,5.7,Terror
Rock Star (Light of Day),1987,5.9,Cine clásico
Escándalo en el convento,1973,3.8,Cine clásico
Cien Días en Palermo,1984,5.6,Cine clásico
Jugando a matar,1991,5.1,Terror
La Torre de Londres,1962,6.6,Cine clásico
Forty Shades of Blue,2005,7.2,Drama
"Zombi, el amanecer de los muertos viviventes",1978,7.4,Terror
Viaje al centro de la tierra,1988,4.1,Cine clásico
Mi amigo Mac,1988,4.8,Cine clásico
Prom Night,1980,7.0,Cine clásico
El tren,1964,8.5,Bélico
Los Diminutos,1985,8.2,Cine clásico
Concierto de verano Simon Rattle,2013,9.4,Conciertos y Óperas
Mutant,1984,6.1,Ciencia ficción
Funk en la favela,2016,7.0,Documental musical
Deseo,1936,7.5,Romántica
Curso 1999,1990,5.5,Ciencia ficción
No le digas a mamá que la canguro ha muerto,1991,6.7,Comedia
Drone,2015,8.0,Bélico
Leviatán,2014,8.1,Drama
Bittersweet Days,2016,6.6,Comedia
Concierto para Europa Simon Rattle,2013,9.5,Conciertos y Óperas
La chica de Petrovka,1974,6.7,Thriller
Bakur,2015,7.4,Documental
Clamores Jazz: 30 años de música,2013,8.4,Documental musical
Los Caballeros de la Moto,1981,6.4,Cine clásico
Hard Boiled: Hervidero,1992,7.3,Thriller
Pandora y el holandés errante,1951,6.9,Cine clásico
La verdad,1960,7.5,Thriller
El Gran Golpe,2012,6.8,Thriller
Crónicas sexuales de una familia francesa,2012,6.0,Comedia
Five Dances,2013,7.7,Drama
"Joana Biarnés, una entre todos",2015,8.7,Documental
Hello Mary Lou,1987,5.6,Cine clásico
N-VI,2012,7.5,Documental
La Mujer del Domingo,1975,7.2,Cine clásico
Mi madre es una puta,2009,6.5,Drama
El Mundo de Apu,1959,8.9,Cine clásico
El Invencible,1956,8.8,Cine clásico
La Canción del Camino,1955,8.9,Cine clásico
El mundo abandonado,2015,6.7,Drama
Arma perfecta,1991,6.5,Acción
El espíritu del 45,2013,8.4,Documental
Dos Vidas,2012,7.6,Thriller
Crónicas Diplomáticas,2013,6.9,Comedia
Comic-Con Episodio IV: La nueva esperanza del fan,2011,7.3,Documental
Terroristas,1986,7.3,Cine clásico
Las Diabólicas,1955,8.5,Thriller
La muerte y la doncella,1994,8.0,Thriller
Print the legend: la revolución en 3D,2014,8.0,Documental
Fire in Hell,2012,6.1,Drama
Dirty Romance,2015,7.0,Drama
Soy Basura,2014,6.6,Drama
Querido Dictador,2014,6.5,Drama
Inner Borderlines,2014,7.5,Documental
Borgman,2013,6.9,Terror
La arteria invisible,2015,6.1,Drama
Sobre la Marxa,2014,8.4,Documental
D.A.R.Y.L,1985,6.6,Cine clásico
"Barbie, el carnicero de Lyon",1986,6.5,Cine clásico
El beso (1988),1988,6.6,Cine clásico
A toda marcha,1985,5.9,Cine clásico
Policía Internacional,1957,6.3,Cine clásico
I Am Divine,2013,8.1,Documental
Terror sin fin,1993,5.1,Terror
Occidente es Occidente,2010,6.7,Comedia
10 años de amistad,2015,6.9,Documental
Guerra sin Huella,2015,7.9,Documental
El tiempo suspendido,2015,8.5,Documental
90 minutos,2013,7.1,Drama
Crumbs,2015,7.0,Ciencia ficción
Hugo Pratt en África,2010,8.1,Documental
El caso contra la Proposición 8,2014,7.5,Documental
El mal que hacen los hombres,2015,5.4,Thriller
Muerde la bala,1975,7.1,Western
Marco Antonio y Cleopatra,1972,5.7,Drama
Un alma libre,1931,5.9,Drama
Loubia Hamra (Alubias Rojas),2013,5.5,Thriller
La Mujer Bandido,1945,6.8,Cine clásico
¿Qué fue de tía Alice? ,1969,7.0,Terror
Psicosis Mortal,1992,5.4,Cine clásico
La escalera de caracol,1975,5.8,Cine clásico
La escalera de caracol (1946),1946,7.6,Cine clásico
Violación en el último tren de la noche,1975,4.9,Cine clásico
La casa mágica,2014,8.2,Animación
La perversa señora Ward,1971,7.0,Cine clásico
El blanco del ojo,1987,6.0,Cine clásico
Así ama la mujer,1934,6.5,Cine clásico
Johnny Suede,1991,6.9,Comedia
Todo el oro del mundo,1961,7.8,Comedia
El regreso del Río Kwai,1989,4.0,Cine clásico
El silencio del mar,1949,8.4,Bélico
Justi&Cia,2013,6.7,Comedia
London Love Affairs,2015,1.6,Erótica
La jaula de oro,2013,8.1,Drama
A Blast,2015,6.4,Thriller
Concierto con Martha Argerich,2014,9.3,Conciertos y Óperas
El experimento diabólico,1972,7.0,Cine clásico
El Cisne Negro,1942,7.5,Cine clásico
Carretera perdida,1997,8.1,Thriller
Con la bestia dentro,1982,5.9,Terror
El hombre de las multitudes,2013,6.7,Drama
Winter Sleep / Sueño de Invierno,2014,8.4,Drama
Violet,2014,6.9,Drama
The Oath,2010,8.2,Documental
"My country, my country",2006,7.7,Documental
"Mi padre, el espía",2011,7.7,Drama
CERN,2013,7.5,Documental
La ley de Motley,2015,7.9,Documental
Grietas en el asfalto,2014,7.5,Thriller
Stratos,2014,7.2,Thriller
Preocupándonos por la violencia,2014,7.9,Documental
I am here,2014,6.5,Documental
"Trump, el aprendiz de Presidente",2016,6.2,Documental
El País de las Maravillas,2014,7.3,Drama
Gabrielle (2013),2013,7.8,Comedia
Angustia en el hospital central,1982,6.1,Cine clásico
El regreso de Martin Guerre,1982,7.3,Cine clásico
El asesino del cementerio etrusco,1982,4.6,Cine clásico
La Brigada del Diablo,1968,6.0,Cine clásico
"Fuente Álamo, la caricia del tiempo",2001,7.4,Documental
Una historia China de fantasmas,1987,7.6,Cine clásico
"Zoran, mi sobrino tonto",2013,6.6,Drama
Cuando una mujer sube una escalera,1960,8.0,Cine clásico
El fin de los grandes felinos,2012,6.0,Documental
Manos de Seda (1979),1979,5.6,Cine clásico
Desafío al mundo,1975,6.8,Thriller
The Perfect American,2013,6.3,Conciertos y Óperas
Ascenso y caída de la ciudad de Mahagonny ,2011,7.9,Conciertos y Óperas
Beyond Love,2014,4.3,Comedia
Nude Area,2014,5.9,Drama
District Zero,2015,7.4,Documental
Muros (Walls),2015,8.0,Documental
Una pistola al amanecer,1956,7.0,Cine clásico
La Legión del Desierto,1953,5.7,Cine clásico
Las Constituyentes,2011,8.4,Documental
Reno,1939,7.0,Cine clásico
Hellbound: Hellraiser II,1988,6.4,Cine clásico
Tres páginas de un diario,1929,8.2,Cine clásico
Sonata para violonchelo,2014,5.5,Drama
La mano del diablo,1943,7.4,Terror
Eagle Warriors,1966,6.3,Cine clásico
Savaged,2013,5.8,Terror
Cazador del espacio: Aventuras en la zona prohibida,1983,6.8,Cine clásico
Viaje mágico a África,2010,6.5,Aventuras
El Zorro y la Raposa,1971,6.5,Cine clásico
The Trip (El viaje),1967,6.6,Cine clásico
"Cola, Colita, Colassa",2015,4.1,Documental
Una merienda en Ginebra,2012,5.9,Drama
Seizure!,1974,4.4,Cine clásico
Hansel & Gretel: La bruja del bosque negro,2013,5.6,Comedia
El Nórdico,1978,3.6,Aventuras
Salvaje,1953,6.4,Drama
El círculo de hierro,1978,6.3,Cine clásico
El Capitán Jones,1959,6.1,Cine clásico
No todo es vigilia,2014,8.3,Drama
El imperio de la muerte,1982,6.7,Cine clásico
Toda la banda está aquí,1943,8.0,Romántica
Tigres del aire,1942,6.5,Bélico
A 20 millones de millas de la Tierra,1957,7.0,Cine clásico
13 chicas aterrorizadas,1963,5.3,Cine clásico
Los mercenarios de los diamantes,1976,6.5,Acción
"Conde Yorga, vampiro",1970,6.3,Cine clásico
Chicas de fraternidad en la bolera,1988,6.1,Cine clásico
Juego de lágrimas,1992,8.0,Thriller
Strait Jacket,2007,5.0,Ciencia ficción
La masacre del microondas,1983,3.8,Comedia
Más allá del flamenco,2014,8.3,Documental musical
Una mujer difamada,1936,7.3,Cine clásico
La Dalia Azul,1946,7.1,Thriller
The Dickumentary,2014,5.3,Documental
Los Hongos,2014,7.1,Drama
El niño y el mundo,2013,8.5,Animación
Filth (El Sucio),2013,6.4,Comedia
At Berkeley,2013,7.6,Documental
Los Increíbles,2012,7.2,Documental
Cabalgata,1933,6.5,Cine clásico
K2: Tocando el cielo,2015,6.8,Documental
Violencia en Manhattan,1987,6.6,Cine clásico
Locos por las partículas,2013,8.3,Documental
Energized,2014,8.1,Documental
As time goes by in Shangai,2013,7.0,Documental musical
Population Boom,2013,7.8,Documental
La fortuna del Capitán Blood,1950,6.8,Cine clásico
La ruta de los elefantes,2016,3.6,Infantil
Muchos pedazos de algo,2015,6.6,Comedia
Madres invisibles,2016,8.2,Documental
Armas para el Caribe,1965,6.7,Cine clásico
Algodón en Harlem,1970,5.9,Cine clásico
Aquel maldito tren blindado,1978,6.3,Cine clásico
Dr. Giggles,1992,6.0,Comedia
Una historia inmortal,1968,7.3,Cine clásico
La desaparición de Eleanor Rigby: Él,2014,7.4,Romántica
La desaparición de Eleanor Rigby: Ella,2014,7.1,Drama
Su alteza el botones,1945,6.9,Romántica
Todas las mujeres,2012,7.5,Romántica
Bestias del Sur Salvaje,2012,7.8,Drama
Fear Clinic,2015,5.1,Terror
Iranien,2014,8.1,Documental
Oro (Gold),2013,7.2,Western
Llévame a la Luna,2012,6.4,Romántica
El Coro,2014,7.5,Drama
13. Miguel Poveda,2015,8.0,Conciertos y Óperas
Peter Finch: Mad As Hell,2011,8.1,Documental
Shirley: Visiones de una Realidad,2013,7.0,Biopic
Cuestión de Actitud,2014,6.9,Comedia
Girlhood,2014,7.6,Drama
Dobles parejas,2014,6.6,Thriller
Harold y su Manual de Secuestro,2014,6.8,Thriller
De chica en chica,2015,6.1,Comedia
Reencontrar el Amor,2014,6.7,Romántica
Dos frescos en órbita,1962,6.3,Ciencia ficción
La justicia al acecho,1955,7.2,Cine clásico
"Socotra, la isla de los genios",2016,8.1,Documental
Intriga extranjera,1956,6.8,Thriller
El asesino de la caja de herramientas,1976,5.6,Thriller
Los compañeros,1971,7.3,Cine clásico
El monstruo del terror,1965,6.2,Ciencia ficción
Guerra Total,2014,5.3,Thriller
Robin de los bosques,1938,8.0,Aventuras
Los mejores años de nuestra vida,1946,8.7,Drama
Little Boy,2015,6.9,Drama
Mona Lisa,1986,8.6,Thriller
La Llave de Cristal,1942,7.5,Cine clásico
Memphis Belle,1990,6.2,Drama
Violette,2013,7.6,Biopic
Posada Jamaica,1939,6.7,Cine clásico
El Padrino Negro,1974,6.1,Acción
Asesino sangriento,1973,4.2,Cine clásico
Così fan tutte (Haneke),2012,7.2,Conciertos y Óperas
La gran revancha,1984,6.7,Cine clásico
Demasiado tarde para las lágrimas,1949,7.6,Drama
Princesa,2014,7.7,Drama
The Bunny Game,2010,3.7,Terror
Half Revolution,2012,6.7,Documental
El Canalla,1970,6.3,Cine clásico
Pikadero,2015,7.0,Comedia
12+1 una comedia metafísica,2012,6.6,Comedia
"Mil noches, una boda",2014,7.1,Drama
La senda,2012,5.1,Thriller
Frances Ha,2012,7.9,Comedia
No (2012),2012,8.1,Drama
"Beltracchi, el gran falsificador",2014,7.7,Documental
National Gallery,2013,8.1,Documental
Art and Craft,2014,8.3,Documental
Operación Ártico,2014,6.9,Aventuras
The Green Prince,2014,7.9,Thriller
En un lugar sin ley,2013,7.2,Drama
Mud,2012,7.5,Drama
Indigenous,2014,5.6,Terror
Zombeavers (Castores Zombies),2013,5.3,Ciencia ficción
Monsters,2010,6.3,Terror
El Francotirador,2012,6.6,Acción
Free Fall,2013,7.7,Drama
Todos están muertos,2014,7.0,Drama
Alata (Amor sin Barreras),2012,8.1,Drama
Una Noche,2012,7.3,Drama
Ida (2013),2013,8.1,Drama
Secuestro (A Hijacking),2012,7.3,Thriller
A 20 pasos de la fama,2013,8.2,Documental musical
De la mano,2012,6.7,Comedia
Kon-tiki,2012,7.5,Aventuras
El pequeño mago,2013,7.5,Animación
"Las aventuras de Sammy, un viaje extraordinario",2010,7.8,Infantil
Garfield y su pandilla,2008,7.1,Animación
Rebelión en la Isla,2006,6.8,Infantil
El ladrón de Bagdad,1924,8.1,Aventuras
Orgasmo,1969,6.2,Cine clásico
Eso del matrimonio,1971,7.5,Comedia
¿Te acuerdas de mí?,2014,7.2,Romántica
Corn Island,2014,8.0,Drama
El asesino tras la máscara,1979,4.6,Terror
Madrid Above the Moon,2015,6.4,Comedia
Noche de vino y copas,2011,6.8,Comedia
Side by Side,2013,7.6,Documental
Remo: desarmado y peligroso,1985,6.5,Cine clásico
Benidorm mon amour,2016,2.0,Comedia
Sushi: La captura global,2012,7.3,Documental
De un tiempo libre a esta parte,2015,7.6,Documental musical
Templario II: Batalla por la sangre,2014,5.8,Aventuras
Entre Tinieblas,1983,7.5,Cine clásico
The last showing,2014,4.7,Terror
"Yes, we fuck",2015,8.3,Documental
"Gameplay, la historia del videojuego",2014,7.6,Documental
Secretos y mentiras,1995,8.5,Drama
Love Between the Covers,2015,7.3,Documental
"Decrecimiento, del mito de la abundancia a la simplicidad voluntaria",2015,7.8,Documental
Eisenstein en Guanajuato,2015,6.8,Biopic
Confessions,2010,7.7,Thriller
Tar (El color del tiempo),2012,6.0,Biopic
Generación Kronen,2015,7.0,Documental
Informe General II: El nuevo rapto de Europa,2015,8.2,Documental
Todos los Caminos de Dios,2014,5.8,Drama
Four Lions,2009,7.1,Comedia
Teatro ¿Off?,2016,7.3,Documental
Resolution,2012,5.8,Terror
Bunny the Killer Thing,2015,5.1,Terror
Exterminador 2,1984,5.3,Acción
Noches blancas en el muelle,2014,7.2,Drama
El Testamento de Rosa,2015,8.4,Documental
Supermensch: La leyenda de Shep Gordon,2013,8.1,Documental musical
Golpe de calor,2015,7.3,Thriller
Vendrán tiempos mejores,2014,8.3,Documental
Cómo cambiar el mundo,2014,8.5,Documental
En Tierra Extraña,2014,8.0,Documental
Ballet Boys,2014,7.8,Documental
Educación Siberiana,2013,6.8,Thriller
En el viejo California ,1942,6.3,Western
Why don't you play in hell?,2013,7.5,Acción
El poder de la fuerza,1977,4.6,Cine clásico
Siete Psicópatas,2012,6.8,Thriller
La Isla de los Olvidados,2011,7.7,Drama
138 segundos,2013,8.3,Documental
Primer Amor,2004,6.8,Drama
Ai Weiwei: Never Sorry ,2012,8.2,Documental
El misterio del Nilo,2005,6.9,Documental
Don Giovanni (2005),2005,8.8,Conciertos y Óperas
Aún Tibet,2014,7.7,Documental
Vientos de Agosto,2014,6.8,Drama
Patrick,1978,6.0,Cine clásico
"Meteletsa, el invierno de los muertos",2012,3.4,Terror
Deuda de Honor,2014,7.7,Western
Berlín Occidente,1948,7.7,Comedia
Amor en la miseria,1941,7.4,Cine clásico
Historias en el internado,2015,3.2,Erótica
Las reinas de Navidad,2014,4.2,Erótica
Tres Colores: Rojo,1994,8.0,Cine clásico
Tres Colores: Azul,1992,8.3,Cine clásico
Tres Colores: Blanco,1993,7.6,Cine clásico
Tabloid,2010,7.5,Documental
Las ventanas abiertas,2015,7.3,Documental
Los Ojos Amarillos de los Cocodrilos,2013,6.3,Drama
Escándalo en el Poder,2015,4.7,Thriller
"De latir, mi corazón se ha parado",2005,8.0,Drama
Una Canción para Marion,2012,7.7,Comedia
No Home Movie,2015,7.2,Documental
Menudos héroes,2015,8.1,Infantil
Corazón Silencioso,2014,8.1,Drama
Amor sin control,2012,6.6,Romántica
¿Qué hacemos con Maisie?,2012,7.5,Drama
¿Dónde están los espías?,1965,6.2,Comedia
La amante,1971,5.6,Cine clásico
Los seductores (1980),1980,5.4,Cine clásico
Black Coal,2014,6.9,Thriller
Camino hacia el éxito,2014,6.0,Drama
Desafío Total,1990,8.3,Ciencia ficción
Quilapayún: más allá de la canción,2015,8.3,Documental musical
Operación Tirpitz,1955,6.7,Cine clásico
Señora de,2010,8.6,Documental
Perfidia (2014),2014,4.6,Terror
Al final de la escapada,2010,7.6,Documental
La Quema,1981,6.1,Cine clásico
El oro de Ulises,1997,8.0,Drama
El Misterio de Oberwald,1980,6.7,Cine clásico
Cuchillos para damas,1974,4.3,Cine clásico
Androcles y el león,1952,6.6,Cine clásico
Amigos x Raul Paz,2008,7.0,Documental musical
Electrick Children,2012,7.2,Comedia
Joven y Bonita,2013,7.2,Drama
The Casanova Variations,2014,7.6,Drama
Circuito Cerrado (2013),2013,7.7,Thriller
De Caligari a Hitler,2014,8.2,Documental
Mago: La impresionante vida y obra de Orson Welles,2014,7.5,Documental
Attila Marcel,2013,7.6,Comedia
Brasserie Romantic,2012,6.9,Comedia
Jack Strong,2014,7.7,Thriller
Destino Marrakech,2013,7.1,Drama
El Hijo del Otro,2012,8.1,Drama
Una cita para el verano,2010,6.9,Comedia
The Exam,2011,7.5,Thriller
Pelo Malo,2013,7.3,Drama
You and the Night,2013,6.1,Drama
Dog Pound (La Perrera),2010,7.3,Thriller
Byzantium,2013,6.8,Drama
El Desconocido del Lago,2013,7.2,Thriller
La Espuma de los Días,2013,6.9,Romántica
"De tal padre, tal hijo",2013,8.3,Drama
Un toque de violencia,2013,7.4,Drama
Turistas (Sightseers),2012,6.4,Comedia
El Cuarteto,2012,7.1,Comedia
"Woochi, cazador de demonios",2009,7.0,Aventuras
El amigo de mi hermana,2011,7.1,Romántica
Tres veces 20 años,2011,6.6,Romántica
El Concierto,2009,7.5,Comedia
Stockholm,2013,7.2,Drama
Caníbal,2013,6.8,Thriller
La herida,2013,7.1,Drama
Cube,1997,7.5,Thriller
Doble juego (Romeo Is Bleeding),1993,6.6,Thriller
Hidden (Lo Oculto),1987,7.3,Cine clásico
"Nicky, la aprendiz de bruja",2014,7.7,Infantil
El joven Detective Dee: El poder del dragón marino,2013,7.4,Acción
Detective Dee y el Misterio de la Llama Fantasma,2010,6.7,Thriller
Movida en la universidad,1982,5.0,Cine clásico
Enterrado vivo,1983,6.5,Cine clásico
Rejas Ardientes,1983,5.4,Cine clásico
"Lisa, juego mortal",1989,5.3,Cine clásico
Mercenarios sin gloria,1969,7.0,Cine clásico
Los desmadrados piratas de Barba Amarilla,1983,6.3,Cine clásico
Los maestros tullidos,1979,6.9,Cine clásico
El Último Pasajero,2013,5.7,Acción
Lunático,2014,7.4,Drama
Manhattan Sur,1985,7.1,Acción
Islamar Tercero: Herida Abierta,2015,8.1,Documental
La Leyenda del Santo Bebedor,1988,7.3,Drama
Vikingos: Un viaje a los nuevos mundos,2004,5.7,Documental
"Maya Deren, Toma Cero",2012,7.3,Documental
El hijo pródigo,2014,3.5,Drama
Juntos ante el peligro,1956,5.9,Cine clásico
La ciudad perdida,2016,6.0,Documental
Los Chicos del Maíz,1984,5.9,Cine clásico
Diamantes Negros,2013,7.0,Drama
