R_fighter;B_fighter;win_by;last_round;last_round_time;Format;Referee;date;location;Winner;weight_class;title_bout
Henry Cejudo;Marlon Moraes;KO/TKO;3;4:51;5 Rnd (5-5-5-5-5);Marc Goddard;June 08, 2019;Chicago, Illinois, USA;Henry Cejudo;Bantamweight;True
Valentina Shevchenko;Jessica Eye;KO/TKO;2;0:26;5 Rnd (5-5-5-5-5);Robert Madrigal;June 08, 2019;Chicago, Illinois, USA;Valentina Shevchenko;Women's Flyweight;True
Tony Ferguson;Donald Cerrone;TKO - Doctor's Stoppage;2;5:00;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Tony Ferguson;Lightweight;False
Jimmie Rivera;Petr Yan;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;June 08, 2019;Chicago, Illinois, USA;Petr Yan;Bantamweight;False
Tai Tuivasa;Blagoy Ivanov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Blagoy Ivanov;Heavyweight;False
Tatiana Suarez;Nina Ansaroff;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Robert Madrigal;June 08, 2019;Chicago, Illinois, USA;Tatiana Suarez;Women's Strawweight;False
Aljamain Sterling;Pedro Munhoz;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;June 08, 2019;Chicago, Illinois, USA;Aljamain Sterling;Bantamweight;False
Karolina Kowalkiewicz;Alexa Grasso;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;June 08, 2019;Chicago, Illinois, USA;Alexa Grasso;Women's Strawweight;False
Ricardo Lamas;Calvin Kattar;KO/TKO;1;4:06;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Calvin Kattar;Featherweight;False
Yan Xiaonan;Angela Hill;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Robert Madrigal;June 08, 2019;Chicago, Illinois, USA;Yan Xiaonan;Women's Strawweight;False
Bevon Lewis;Darren Stewart;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;June 08, 2019;Chicago, Illinois, USA;Darren Stewart;Middleweight;False
Eddie Wineland;Grigorii Popov;KO/TKO;2;4:47;3 Rnd (5-5-5);Kevin MacDonald;June 08, 2019;Chicago, Illinois, USA;Eddie Wineland;Bantamweight;False
Katlyn Chookagian;Joanne Calderwood;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Katlyn Chookagian;Women's Flyweight;False
Alexander Gustafsson;Anthony Smith;Submission;4;2:38;5 Rnd (5-5-5-5-5);Marc Goddard;June 01, 2019;Stockholm, Sweden;Anthony Smith;Light Heavyweight;False
Jimi Manuwa;Aleksandar Rakic;KO/TKO;1;0:47;3 Rnd (5-5-5);Kevin Sataki;June 01, 2019;Stockholm, Sweden;Aleksandar Rakic;Light Heavyweight;False
Makwan Amirkhani;Chris Fishgold;Submission;2;4:25;3 Rnd (5-5-5);Marc Goddard;June 01, 2019;Stockholm, Sweden;Makwan Amirkhani;Featherweight;False
Damir Hadzovic;Christos Giagos;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rich Mitchell;June 01, 2019;Stockholm, Sweden;Christos Giagos;Lightweight;False
Daniel Teymur;Sung Bin Jo;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rebin Saber;June 01, 2019;Stockholm, Sweden;Daniel Teymur;Featherweight;False
Rostem Akman;Sergey Khandozhko;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;June 01, 2019;Stockholm, Sweden;Sergey Khandozhko;Welterweight;False
Tonya Evinger;Lina Lansberg;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Sataki;June 01, 2019;Stockholm, Sweden;Lina Lansberg;Women's Bantamweight;False
Stevie Ray;Leonardo Santos;KO/TKO;1;2:17;3 Rnd (5-5-5);Marc Goddard;June 01, 2019;Stockholm, Sweden;Leonardo Santos;Lightweight;False
Nick Hein;Frank Camacho;KO/TKO;2;4:56;3 Rnd (5-5-5);Leon Roberts;June 01, 2019;Stockholm, Sweden;Frank Camacho;Lightweight;False
Bea Malecki;Duda Santana;Submission;2;1:59;3 Rnd (5-5-5);;June 01, 2019;Stockholm, Sweden;Bea Malecki;Women's Bantamweight;False
Darko Stosic;Devin Clark;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Sataki;June 01, 2019;Stockholm, Sweden;Devin Clark;Light Heavyweight;False
Joel Alvarez;Danilo Belluardo;KO/TKO;2;2:22;3 Rnd (5-5-5);Rebin Saber;June 01, 2019;Stockholm, Sweden;Joel Alvarez;Lightweight;False
Rafael Dos Anjos;Kevin Lee;Submission;4;3:47;5 Rnd (5-5-5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Rafael Dos Anjos;Welterweight;False
Antonio Carlos Junior;Ian Heinisch;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Ian Heinisch;Middleweight;False
Megan Anderson;Felicia Spencer;Submission;1;3:24;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Felicia Spencer;Women's Featherweight;False
Vicente Luque;Derrick Krantz;KO/TKO;1;3:52;3 Rnd (5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Vicente Luque;Welterweight;False
Charles Oliveira;Nik Lentz;KO/TKO;2;2:11;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Charles Oliveira;Lightweight;False
Davi Ramos;Austin Hubbard;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Davi Ramos;Lightweight;False
Aspen Ladd;Sijara Eubanks;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Aspen Ladd;Women's Bantamweight;False
Desmond Green;Charles Jourdain;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Desmond Green;Lightweight;False
Danny Roberts;Michel Pereira;KO/TKO;1;1:47;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Michel Pereira;Welterweight;False
Michael Trizano;Grant Dawson;Submission;2;2:27;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Grant Dawson;Featherweight;False
Patrick Cummins;Ed Herman;KO/TKO;1;3:39;3 Rnd (5-5-5);Dan Miragliotta;May 18, 2019;Rochester, New York, USA;Ed Herman;Light Heavyweight;False
Zak Cummings;Trevin Giles;Submission;3;4:01;3 Rnd (5-5-5);Todd Ronald Anderson;May 18, 2019;Rochester, New York, USA;Zak Cummings;Middleweight;False
Julio Arce;Julian Erosa;KO/TKO;3;1:49;3 Rnd (5-5-5);Keith Peterson;May 18, 2019;Rochester, New York, USA;Julio Arce;Featherweight;False
Rose Namajunas;Jessica Andrade;KO/TKO;2;2:58;5 Rnd (5-5-5-5-5);Marc Goddard;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Jessica Andrade;Women's Strawweight;True
Jared Cannonier;Anderson Silva;KO/TKO;1;4:47;3 Rnd (5-5-5);Herb Dean;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Jared Cannonier;Middleweight;False
Jose Aldo;Alexander Volkanovski;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Alexander Volkanovski;Featherweight;False
Thiago Alves;Laureano Staropoli;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Osiris Maia;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Laureano Staropoli;Welterweight;False
Irene Aldana;Bethe Correia;Submission;3;3:24;3 Rnd (5-5-5);Eduardo Herdy;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Irene Aldana;Women's Bantamweight;False
Rogerio Nogueira;Ryan Spann;KO/TKO;1;2:07;3 Rnd (5-5-5);Herb Dean;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Ryan Spann;Light Heavyweight;False
Thiago Moises;Kurt Holobaugh;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Thiago Moises;Lightweight;False
Warlley Alves;Sergio Moraes;KO/TKO;3;4:13;3 Rnd (5-5-5);Osiris Maia;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Warlley Alves;Welterweight;False
BJ Penn;Clay Guida;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Clay Guida;Lightweight;False
Luana Carolina;Priscila Cachoeira;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Fernando Portella;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Luana Carolina;Women's Flyweight;False
Raoni Barcelos;Carlos Huachin;KO/TKO;2;4:49;3 Rnd (5-5-5);Eduardo Herdy;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Raoni Barcelos;Bantamweight;False
Talita Bernardo;Viviane Araujo;KO/TKO;3;0:48;3 Rnd (5-5-5);Fernando Portella;May 11, 2019;Rio de Janeiro, Rio de Janeiro, Brazil;Viviane Araujo;Women's Bantamweight;False
Al Iaquinta;Donald Cerrone;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Jerin Valel;May 04, 2019;Ottawa, Ontario, Canada;Donald Cerrone;Lightweight;False
Derek Brunson;Elias Theodorou;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Todd Ronald Anderson;May 04, 2019;Ottawa, Ontario, Canada;Derek Brunson;Middleweight;False
Cub Swanson;Shane Burgos;Decision - Split;3;5:00;3 Rnd (5-5-5);Yves Lavigne;May 04, 2019;Ottawa, Ontario, Canada;Shane Burgos;Featherweight;False
Brad Katona;Merab Dvalishvili;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;May 04, 2019;Ottawa, Ontario, Canada;Merab Dvalishvili;Bantamweight;False
Walt Harris;Serghei Spivac;KO/TKO;1;0:50;3 Rnd (5-5-5);Jerin Valel;May 04, 2019;Ottawa, Ontario, Canada;Walt Harris;Heavyweight;False
Marc-Andre Barriault;Andrew Sanchez;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Todd Ronald Anderson;May 04, 2019;Ottawa, Ontario, Canada;Andrew Sanchez;Middleweight;False
Macy Chiasson;Sarah Moras;KO/TKO;2;2:22;3 Rnd (5-5-5);Yves Lavigne;May 04, 2019;Ottawa, Ontario, Canada;Macy Chiasson;Women's Bantamweight;False
Aiemann Zahabi;Vince Morales;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;May 04, 2019;Ottawa, Ontario, Canada;Vince Morales;Bantamweight;False
Nordine Taleb;Kyle Prepolec;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jerin Valel;May 04, 2019;Ottawa, Ontario, Canada;Nordine Taleb;Welterweight;False
Kyle Nelson;Matt Sayles;Submission;3;3:16;3 Rnd (5-5-5);Todd Ronald Anderson;May 04, 2019;Ottawa, Ontario, Canada;Matt Sayles;Featherweight;False
Arjan Bhullar;Juan Adams;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;May 04, 2019;Ottawa, Ontario, Canada;Arjan Bhullar;Heavyweight;False
Mitch Gagnon;Cole Smith;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;May 04, 2019;Ottawa, Ontario, Canada;Cole Smith;Bantamweight;False
Jacare Souza;Jack Hermansson;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Dan Miragliotta;April 27, 2019;Sunrise, Florida, USA;Jack Hermansson;Middleweight;False
Greg Hardy;Dmitrii Smoliakov;KO/TKO;1;2:15;3 Rnd (5-5-5);Keith Peterson;April 27, 2019;Sunrise, Florida, USA;Greg Hardy;Heavyweight;False
Alex Oliveira;Mike Perry;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Larry Downs;April 27, 2019;Sunrise, Florida, USA;Mike Perry;Welterweight;False
Glover Teixeira;Ion Cutelaba;Submission;2;3:37;3 Rnd (5-5-5);Alan Abeles;April 27, 2019;Sunrise, Florida, USA;Glover Teixeira;Light Heavyweight;False
John Lineker;Cory Sandhagen;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 27, 2019;Sunrise, Florida, USA;Cory Sandhagen;Bantamweight;False
Roosevelt Roberts;Thomas Gifford;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;April 27, 2019;Sunrise, Florida, USA;Roosevelt Roberts;Lightweight;False
Ben Saunders;Takashi Sato;KO/TKO;2;1:18;3 Rnd (5-5-5);Larry Downs;April 27, 2019;Sunrise, Florida, USA;Takashi Sato;Welterweight;False
Andrei Arlovski;Augusto Sakai;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 27, 2019;Sunrise, Florida, USA;Augusto Sakai;Heavyweight;False
Carla Esparza;Virna Jandiroba;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Alan Abeles;April 27, 2019;Sunrise, Florida, USA;Carla Esparza;Women's Strawweight;False
Gilbert Burns;Mike Davis;Submission;2;4:15;3 Rnd (5-5-5);Keith Peterson;April 27, 2019;Sunrise, Florida, USA;Gilbert Burns;Lightweight;False
Jim Miller;Jason Gonzalez;Submission;1;2:12;3 Rnd (5-5-5);Larry Downs;April 27, 2019;Sunrise, Florida, USA;Jim Miller;Lightweight;False
Angela Hill;Jodie Esquibel;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Alan Abeles;April 27, 2019;Sunrise, Florida, USA;Angela Hill;Women's Strawweight;False
Court McGee;Dhiego Lima;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 27, 2019;Sunrise, Florida, USA;Dhiego Lima;Welterweight;False
Alistair Overeem;Aleksei Oleinik;KO/TKO;1;4:45;5 Rnd (5-5-5-5-5);Marc Goddard;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Alistair Overeem;Heavyweight;False
Islam Makhachev;Arman Tsarukyan;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Islam Makhachev;Lightweight;False
Sergei Pavlovich;Marcelo Golm;KO/TKO;1;1:06;3 Rnd (5-5-5);Leon Roberts;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Sergei Pavlovich;Heavyweight;False
Roxanne Modafferi;Antonina Shevchenko;Decision - Split;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Roxanne Modafferi;Women's Flyweight;False
Krzysztof Jotko;Alen Amedovski;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Krzysztof Jotko;Middleweight;False
Movsar Evloev;Seungwoo Choi;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Vjacheslav Kiselev;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Movsar Evloev;Featherweight;False
Sultan Aliev;Keita Nakamura;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Sultan Aliev;Welterweight;False
Alexander Yakovlev;Alex Da Silva;Submission;2;3:10;3 Rnd (5-5-5);Marc Goddard;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Alexander Yakovlev;Lightweight;False
Marcin Tybura;Shamil Abdurakhimov;KO/TKO;2;3:15;3 Rnd (5-5-5);Herb Dean;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Shamil Abdurakhimov;Heavyweight;False
Gadzhimurad Antigulov;Michal Oleksiejczuk;KO/TKO;1;0:44;3 Rnd (5-5-5);Leon Roberts;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Michal Oleksiejczuk;Light Heavyweight;False
Magomed Mustafaev;Rafael Fiziev;KO/TKO;1;1:26;3 Rnd (5-5-5);Vjacheslav Kiselev;April 20, 2019;Saint Petersburg, Saint Petersburg, Russia;Magomed Mustafaev;Lightweight;False
Max Holloway;Dustin Poirier;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Blake Grice;April 13, 2019;Atlanta, Georgia, USA;Dustin Poirier;Lightweight;True
Kelvin Gastelum;Israel Adesanya;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Marc Goddard;April 13, 2019;Atlanta, Georgia, USA;Israel Adesanya;Middleweight;True
Eryk Anders;Khalil Rountree Jr.;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;April 13, 2019;Atlanta, Georgia, USA;Khalil Rountree Jr.;Light Heavyweight;False
Alan Jouban;Dwight Grant;Decision - Split;3;5:00;3 Rnd (5-5-5);George Allen;April 13, 2019;Atlanta, Georgia, USA;Dwight Grant;Welterweight;False
Ovince Saint Preux;Nikita Krylov;Submission;2;2:30;3 Rnd (5-5-5);Blake Grice;April 13, 2019;Atlanta, Georgia, USA;Nikita Krylov;Light Heavyweight;False
Jalin Turner;Matt Frevola;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 13, 2019;Atlanta, Georgia, USA;Matt Frevola;Lightweight;False
Wilson Reis;Alexandre Pantoja;KO/TKO;1;2:58;3 Rnd (5-5-5);Jason Herzog;April 13, 2019;Atlanta, Georgia, USA;Alexandre Pantoja;Flyweight;False
Max Griffin;Zelim Imadaev;Decision - Majority;3;5:00;3 Rnd (5-5-5);George Allen;April 13, 2019;Atlanta, Georgia, USA;Max Griffin;Welterweight;False
Boston Salmon;Khalid Taha;KO/TKO;1;0:25;3 Rnd (5-5-5);Blake Grice;April 13, 2019;Atlanta, Georgia, USA;Khalid Taha;Bantamweight;False
Curtis Millender;Belal Muhammad;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 13, 2019;Atlanta, Georgia, USA;Belal Muhammad;Welterweight;False
Montel Jackson;Andre Soukhamthath;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;April 13, 2019;Atlanta, Georgia, USA;Montel Jackson;Bantamweight;False
Lauren Mueller;Poliana Botelho;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);George Allen;April 13, 2019;Atlanta, Georgia, USA;Poliana Botelho;Women's Flyweight;False
Brandon Davis;Randy Costa;Submission;2;1:12;3 Rnd (5-5-5);Jason Herzog;April 13, 2019;Atlanta, Georgia, USA;Brandon Davis;Bantamweight;False
Edson Barboza;Justin Gaethje;KO/TKO;1;2:30;5 Rnd (5-5-5-5-5);Keith Peterson;March 30, 2019;Philadelphia, Pennsylvania, USA;Justin Gaethje;Lightweight;False
David Branch;Jack Hermansson;Submission;1;0:49;3 Rnd (5-5-5);Dan Miragliotta;March 30, 2019;Philadelphia, Pennsylvania, USA;Jack Hermansson;Middleweight;False
Josh Emmett;Michael Johnson;KO/TKO;3;4:14;3 Rnd (5-5-5);Keith Peterson;March 30, 2019;Philadelphia, Pennsylvania, USA;Josh Emmett;Featherweight;False
Karolina Kowalkiewicz;Michelle Waterson;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;March 30, 2019;Philadelphia, Pennsylvania, USA;Michelle Waterson;Women's Strawweight;False
Kennedy Nzechukwu;Paul Craig;Submission;3;4:20;3 Rnd (5-5-5);Keith Peterson;March 30, 2019;Philadelphia, Pennsylvania, USA;Paul Craig;Light Heavyweight;False
Sodiq Yusuff;Sheymon Moraes;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;March 30, 2019;Philadelphia, Pennsylvania, USA;Sodiq Yusuff;Featherweight;False
Marina Rodriguez;Jessica Aguilar;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;March 30, 2019;Philadelphia, Pennsylvania, USA;Marina Rodriguez;Women's Strawweight;False
Ross Pearson;Desmond Green;KO/TKO;1;2:52;3 Rnd (5-5-5);James Chappell;March 30, 2019;Philadelphia, Pennsylvania, USA;Desmond Green;Lightweight;False
Enrique Barzola;Kevin Aguilar;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Bill Bookwalter;March 30, 2019;Philadelphia, Pennsylvania, USA;Kevin Aguilar;Featherweight;False
Kevin Holland;Gerald Meerschaert;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;March 30, 2019;Philadelphia, Pennsylvania, USA;Kevin Holland;Middleweight;False
Ray Borg;Casey Kenney;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);James Chappell;March 30, 2019;Philadelphia, Pennsylvania, USA;Casey Kenney;Bantamweight;False
Sabina Mazo;Maryna Moroz;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;March 30, 2019;Philadelphia, Pennsylvania, USA;Maryna Moroz;Women's Flyweight;False
Alex Perez;Mark De La Rosa;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Bill Bookwalter;March 30, 2019;Philadelphia, Pennsylvania, USA;Alex Perez;Bantamweight;False
Stephen Thompson;Anthony Pettis;KO/TKO;2;4:55;5 Rnd (5-5-5-5-5);Herb Dean;March 23, 2019;Nashville, Tennessee, USA;Anthony Pettis;Welterweight;False
Curtis Blaydes;Justin Willis;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;March 23, 2019;Nashville, Tennessee, USA;Curtis Blaydes;Heavyweight;False
John Makdessi;Jesus Pinedo;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 23, 2019;Nashville, Tennessee, USA;John Makdessi;Lightweight;False
Jussier Formiga;Deiveson Figueiredo;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;March 23, 2019;Nashville, Tennessee, USA;Jussier Formiga;Flyweight;False
Luis Pena;Steven Peterson;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 23, 2019;Nashville, Tennessee, USA;Luis Pena;Featherweight;False
Maycee Barber;JJ Aldrich;KO/TKO;2;3:01;3 Rnd (5-5-5);Keith Peterson;March 23, 2019;Nashville, Tennessee, USA;Maycee Barber;Women's Flyweight;False
Bryce Mitchell;Bobby Moffett;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Ricky Parker;March 23, 2019;Nashville, Tennessee, USA;Bryce Mitchell;Featherweight;False
Marlon Vera;Frankie Saenz;KO/TKO;1;1:25;3 Rnd (5-5-5);Jimmy Neely;March 23, 2019;Nashville, Tennessee, USA;Marlon Vera;Bantamweight;False
Alexis Davis;Jennifer Maia;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);;March 23, 2019;Nashville, Tennessee, USA;Jennifer Maia;Women's Flyweight;False
Randa Markos;Angela Hill;Submission;1;4:24;3 Rnd (5-5-5);Keith Peterson;March 23, 2019;Nashville, Tennessee, USA;Randa Markos;Women's Strawweight;False
Ryan MacDonald;Chris Gutierrez;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Ricky Parker;March 23, 2019;Nashville, Tennessee, USA;Chris Gutierrez;Bantamweight;False
Eric Shelton;Jordan Espinosa;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jimmy Neely;March 23, 2019;Nashville, Tennessee, USA;Jordan Espinosa;Flyweight;False
Darren Till;Jorge Masvidal;KO/TKO;2;3:05;5 Rnd (5-5-5-5-5);Marc Goddard;March 16, 2019;London, England, United Kingdom;Jorge Masvidal;Welterweight;False
Leon Edwards;Gunnar Nelson;Decision - Split;3;5:00;3 Rnd (5-5-5);Kevin Sataki;March 16, 2019;London, England, United Kingdom;Leon Edwards;Welterweight;False
Volkan Oezdemir;Dominick Reyes;Decision - Split;3;5:00;3 Rnd (5-5-5);Leon Roberts;March 16, 2019;London, England, United Kingdom;Dominick Reyes;Light Heavyweight;False
Nathaniel Wood;Jose Quinonez;Submission;2;2:46;3 Rnd (5-5-5);Rich Mitchell;March 16, 2019;London, England, United Kingdom;Nathaniel Wood;Bantamweight;False
Danny Roberts;Claudio Silva;Submission;3;2:37;3 Rnd (5-5-5);Kevin Sataki;March 16, 2019;London, England, United Kingdom;Claudio Silva;Welterweight;False
Jack Marshman;John Phillips;Decision - Split;3;5:00;3 Rnd (5-5-5);Marc Goddard;March 16, 2019;London, England, United Kingdom;Jack Marshman;Middleweight;False
Arnold Allen;Jordan Rinaldi;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;March 16, 2019;London, England, United Kingdom;Arnold Allen;Featherweight;False
Marc Diakiese;Joe Duffy;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Daniel Movahedi;March 16, 2019;London, England, United Kingdom;Marc Diakiese;Lightweight;False
Nicolae Negumereanu;Saparbeg Safarov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;March 16, 2019;London, England, United Kingdom;Saparbeg Safarov;Light Heavyweight;False
Danny Henry;Dan Ige;Submission;1;1:17;3 Rnd (5-5-5);Marc Goddard;March 16, 2019;London, England, United Kingdom;Dan Ige;Featherweight;False
Molly McCann;Priscila Cachoeira;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rich Mitchell;March 16, 2019;London, England, United Kingdom;Molly McCann;Women's Flyweight;False
Mike Grundy;Nad Narimani;KO/TKO;2;4:42;3 Rnd (5-5-5);Daniel Movahedi;March 16, 2019;London, England, United Kingdom;Mike Grundy;Featherweight;False
Derrick Lewis;Junior Dos Santos;KO/TKO;2;1:58;5 Rnd (5-5-5-5-5);Herb Dean;March 09, 2019;Wichita, Kansas, USA;Junior Dos Santos;Heavyweight;False
Elizeu Zaleski dos Santos;Curtis Millender;Submission;1;2:35;3 Rnd (5-5-5);Rob Hinds;March 09, 2019;Wichita, Kansas, USA;Elizeu Zaleski dos Santos;Welterweight;False
Tim Means;Niko Price;KO/TKO;1;4:50;3 Rnd (5-5-5);Rob Hinds;March 09, 2019;Wichita, Kansas, USA;Niko Price;Welterweight;False
Blagoy Ivanov;Ben Rothwell;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 09, 2019;Wichita, Kansas, USA;Blagoy Ivanov;Heavyweight;False
Beneil Dariush;Drew Dober;Submission;2;4:41;3 Rnd (5-5-5);Rob Hinds;March 09, 2019;Wichita, Kansas, USA;Beneil Dariush;Lightweight;False
Tim Boetsch;Omari Akhmedov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 09, 2019;Wichita, Kansas, USA;Omari Akhmedov;Middleweight;False
Anthony Rocco Martin;Sergio Moraes;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rob Hinds;March 09, 2019;Wichita, Kansas, USA;Anthony Rocco Martin;Welterweight;False
Marion Reneau;Yana Kunitskaya;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Nick Berens;March 09, 2019;Wichita, Kansas, USA;Yana Kunitskaya;Women's Bantamweight;False
Grant Dawson;Julian Erosa;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 09, 2019;Wichita, Kansas, USA;Grant Dawson;Featherweight;False
Maurice Greene;Jeff Hughes;Decision - Split;3;5:00;3 Rnd (5-5-5);Nick Berens;March 09, 2019;Wichita, Kansas, USA;Maurice Greene;Heavyweight;False
Louis Smolka;Matt Schnell;Submission;1;3:18;3 Rnd (5-5-5);Marcio Laselva;March 09, 2019;Wichita, Kansas, USA;Matt Schnell;Bantamweight;False
